date,code,title,price,market_cap,number_of_investors,number_of_shares
2020-08-25,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.872878,131916954.89,2309.0,70435429.0
2020-08-25,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.97623,7355967.68,277.0,7535080.0
2020-08-26,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.975467,7450957.17,273.0,7638351.0
2020-08-26,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.867948,134348761.48,2334.0,71923199.0
2020-08-27,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.849233,139534358.4,2347.0,75455261.0
2020-08-27,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.980734,7376467.98,265.0,7521372.0
2020-08-28,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.987447,7513923.68,263.0,7609447.0
2020-08-28,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.865681,140769028.85,2350.0,75451810.0
2020-08-31,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.872217,139790862.7,2370.0,74665969.0
2020-08-31,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.978266,7353845.38,271.0,7517222.0
2020-09-01,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.961665,7203438.02,276.0,7490591.0
2020-09-01,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.889174,142165057.88,2410.0,75252488.0
2020-09-02,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.970081,6947853.69,277.0,7162136.0
2020-09-02,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.916372,146369447.52,2433.0,76378394.0
2020-09-03,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.966818,7100136.0,279.0,7343820.0
2020-09-03,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.902313,145401578.58,2426.0,76434089.0
2020-09-04,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.877074,146227025.83,2419.0,77901593.0
2020-09-04,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.961025,6570767.22,284.0,6837248.0
2020-09-07,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.884453,144288277.0,2425.0,76567707.0
2020-09-07,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.963026,6631085.08,280.0,6885677.0
2020-09-08,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.881247,145163507.75,2421.0,77163462.0
2020-09-08,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.978594,6750984.51,301.0,6898656.0
2020-09-09,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.888506,144197789.53,2401.0,76355487.0
2020-09-09,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.982562,6945952.55,329.0,7069223.0
2020-09-10,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.989287,6900848.87,346.0,6975580.0
2020-09-10,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.891467,143156718.25,2383.0,75685556.0
2020-09-11,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.902926,143549740.24,2359.0,75436335.0
2020-09-11,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.995686,8724552.41,360.0,8762355.0
2020-09-14,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.897401,141893257.89,2341.0,74782944.0
2020-09-14,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.998455,8916127.02,371.0,8929923.0
2020-09-15,KZL,KUVEYT TÜRK ASSET MANAGEMENT GOLD PARTICIPATION FUND,1.90462,141298074.54,2333.0,74187026.0
